code,type,object,code_name,error_name
"101F0102","Data","Device","Registry","All Success"
"101F0103","Data","Device","Registry","All Failed"
"101F0104","Data","Device","Registry","Failed"
"101F0105","Data","Device","Registry","Failed by Time out"
"101F0106","Data","Device","Registry","Failed by Incorrect ID"
"101F0107","Data","Device","Registry","Failed by None Existed"
"101F0108","Data","Device","Registry","Failed by Verification"
"101F0109","Data","Device","Registry","Failed by already exist"
"101F010A","Data","Device","Registry","Failed by Max Limit"
"101F010B","Data","Device","Registry","Failed by Master not found"
"101F010C","Data","Device","Registry","Failed by Master Max Limit"
"101F0201","Data","Device","Delete","Success"
"101F0202","Data","Device","Delete","All Success"
"101F0203","Data","Device","Delete","All Failed"
"101F0204","Data","Device","Delete","Failed"
"101F0205","Data","Device","Delete","Failed by Time out"
"101F0206","Data","Device","Delete","Failed by Incorrect ID"
"101F0207","Data","Device","Delete","Failed by None Existed"
"101F0208","Data","Device","Delete","Failed by Verification"
"101F0209","Data","Device","Delete","Failed by already exist"
"101F020A","Data","Device","Delete","Failed by Max Limit"
"101F020B","Data","Device","Delete","Failed by Master not found"
"101F020C","Data","Device","Delete","Failed by Master Max Limit"
"101F0301","Data","Device","Change","Success"
"101F0302","Data","Device","Change","All Success"
"101F0303","Data","Device","Change","All Failed"
"101F0304","Data","Device","Change","Failed"
"101F0305","Data","Device","Change","Failed by Time out"
"101F0306","Data","Device","Change","Failed by Incorrect ID"
"101F0307","Data","Device","Change","Failed by None Existed"
"101F0308","Data","Device","Change","Failed by Verification"
"101F0309","Data","Device","Change","Failed by already exist"
"101F030A","Data","Device","Change","Failed by Max Limit"
"101F030B","Data","Device","Change","Failed by Master not found"
"101F030C","Data","Device","Change","Failed by Master Max Limit"
"10200101","Data","Device Info","Registry","Success"
"10200102","Data","Device Info","Registry","All Success"
"10200103","Data","Device Info","Registry","All Failed"
"10200104","Data","Device Info","Registry","Failed"
"10200105","Data","Device Info","Registry","Failed by Time out"
"10200106","Data","Device Info","Registry","Failed by Incorrect ID"
"10200107","Data","Device Info","Registry","Failed by None Existed"
"10200108","Data","Device Info","Registry","Failed by Verification"
"10200109","Data","Device Info","Registry","Failed by already exist"
"1020010A","Data","Device Info","Registry","Failed by Max Limit"
"1020010B","Data","Device Info","Registry","Failed by Master not found"
"1020010C","Data","Device Info","Registry","Failed by Master Max Limit"
"10200201","Data","Device Info","Delete","Success"
"10200202","Data","Device Info","Delete","All Success"
"10200203","Data","Device Info","Delete","All Failed"
"10200204","Data","Device Info","Delete","Failed"
"10200205","Data","Device Info","Delete","Failed by Time out"
"10200206","Data","Device Info","Delete","Failed by Incorrect ID"
"10200207","Data","Device Info","Delete","Failed by None Existed"
"10200208","Data","Device Info","Delete","Failed by Verification"
"10200209","Data","Device Info","Delete","Failed by already exist"
"1020020A","Data","Device Info","Delete","Failed by Max Limit"
"1020020B","Data","Device Info","Delete","Failed by Master not found"
"1020020C","Data","Device Info","Delete","Failed by Master Max Limit"
"10200301","Data","Device Info","Change","Success"
"10200302","Data","Device Info","Change","All Success"
"10200303","Data","Device Info","Change","All Failed"
"10200304","Data","Device Info","Change","Failed"
"10200305","Data","Device Info","Change","Failed by Time out"
"10200306","Data","Device Info","Change","Failed by Incorrect ID"
"10200307","Data","Device Info","Change","Failed by None Existed"
"10200308","Data","Device Info","Change","Failed by Verification"
"10200309","Data","Device Info","Change","Failed by already exist"
"1020030A","Data","Device Info","Change","Failed by Max Limit"
"1020030B","Data","Device Info","Change","Failed by Master not found"
"1020030C","Data","Device Info","Change","Failed by Master Max Limit"
"10210101","Data","Input","Registry","Success"
"10210102","Data","Input","Registry","All Success"
"10210103","Data","Input","Registry","All Failed"
"10210104","Data","Input","Registry","Failed"
"10210105","Data","Input","Registry","Failed by Time out"
"10210106","Data","Input","Registry","Failed by Incorrect ID"
"10210107","Data","Input","Registry","Failed by None Existed"
"10210108","Data","Input","Registry","Failed by Verification"
"10210109","Data","Input","Registry","Failed by already exist"
"1021010A","Data","Input","Registry","Failed by Max Limit"
"1021010B","Data","Input","Registry","Failed by Master not found"
"1021010C","Data","Input","Registry","Failed by Master Max Limit"
"10210201","Data","Input","Delete","Success"
"10210202","Data","Input","Delete","All Success"
"10210203","Data","Input","Delete","All Failed"
"10210204","Data","Input","Delete","Failed"
"10210205","Data","Input","Delete","Failed by Time out"
"10210206","Data","Input","Delete","Failed by Incorrect ID"
"10210207","Data","Input","Delete","Failed by None Existed"
"10210208","Data","Input","Delete","Failed by Verification"
"10210209","Data","Input","Delete","Failed by already exist"
"1021020A","Data","Input","Delete","Failed by Max Limit"
"1021020B","Data","Input","Delete","Failed by Master not found"
"1021020C","Data","Input","Delete","Failed by Master Max Limit"
"10210301","Data","Input","Change","Success"
"10210302","Data","Input","Change","All Success"
"10210303","Data","Input","Change","All Failed"
"10210304","Data","Input","Change","Failed"
"10210305","Data","Input","Change","Failed by Time out"
"10210306","Data","Input","Change","Failed by Incorrect ID"
"10210307","Data","Input","Change","Failed by None Existed"
"10210308","Data","Input","Change","Failed by Verification"
"10210309","Data","Input","Change","Failed by already exist"
"1021030A","Data","Input","Change","Failed by Max Limit"
"1021030B","Data","Input","Change","Failed by Master not found"
"1021030C","Data","Input","Change","Failed by Master Max Limit"
"10220101","Data","Output","Registry","Success"
"10220102","Data","Output","Registry","All Success"
"10220103","Data","Output","Registry","All Failed"
"10220104","Data","Output","Registry","Failed"
"10220105","Data","Output","Registry","Failed by Time out"
"10220106","Data","Output","Registry","Failed by Incorrect ID"
"10220107","Data","Output","Registry","Failed by None Existed"
"10220108","Data","Output","Registry","Failed by Verification"
"10220109","Data","Output","Registry","Failed by already exist"
"1022010A","Data","Output","Registry","Failed by Max Limit"
"1022010B","Data","Output","Registry","Failed by Master not found"
"1022010C","Data","Output","Registry","Failed by Master Max Limit"
"10220201","Data","Output","Delete","Success"
"10220202","Data","Output","Delete","All Success"
"10220203","Data","Output","Delete","All Failed"
"10220204","Data","Output","Delete","Failed"
"10220205","Data","Output","Delete","Failed by Time out"
"10220206","Data","Output","Delete","Failed by Incorrect ID"
"10220207","Data","Output","Delete","Failed by None Existed"
"10220208","Data","Output","Delete","Failed by Verification"
"10220209","Data","Output","Delete","Failed by already exist"
"1022020A","Data","Output","Delete","Failed by Max Limit"
"1022020B","Data","Output","Delete","Failed by Master not found"
"1022020C","Data","Output","Delete","Failed by Master Max Limit"
"10220301","Data","Output","Change","Success"
"10220302","Data","Output","Change","All Success"
"10220303","Data","Output","Change","All Failed"
"10220304","Data","Output","Change","Failed"
"10220305","Data","Output","Change","Failed by Time out"
"10220306","Data","Output","Change","Failed by Incorrect ID"
"10220307","Data","Output","Change","Failed by None Existed"
"10220308","Data","Output","Change","Failed by Verification"
"10220309","Data","Output","Change","Failed by already exist"
"1022030A","Data","Output","Change","Failed by Max Limit"
"1022030B","Data","Output","Change","Failed by Master not found"
"1022030C","Data","Output","Change","Failed by Master Max Limit"
"10230101","Data","Reader","Registry","Success"
"10230102","Data","Reader","Registry","All Success"
"10230103","Data","Reader","Registry","All Failed"
"10230104","Data","Reader","Registry","Failed"
"10230105","Data","Reader","Registry","Failed by Time out"
"10230106","Data","Reader","Registry","Failed by Incorrect ID"
"10230107","Data","Reader","Registry","Failed by None Existed"
"10230108","Data","Reader","Registry","Failed by Verification"
"10230109","Data","Reader","Registry","Failed by already exist"
"1023010A","Data","Reader","Registry","Failed by Max Limit"
"1023010B","Data","Reader","Registry","Failed by Master not found"
"1023010C","Data","Reader","Registry","Failed by Master Max Limit"
"10230201","Data","Reader","Delete","Success"
"10230202","Data","Reader","Delete","All Success"
"10230203","Data","Reader","Delete","All Failed"
"10230204","Data","Reader","Delete","Failed"
"10230205","Data","Reader","Delete","Failed by Time out"
"10230206","Data","Reader","Delete","Failed by Incorrect ID"
"10230207","Data","Reader","Delete","Failed by None Existed"
"10230208","Data","Reader","Delete","Failed by Verification"
"10230209","Data","Reader","Delete","Failed by already exist"
"1023020A","Data","Reader","Delete","Failed by Max Limit"
"1023020B","Data","Reader","Delete","Failed by Master not found"
"1023020C","Data","Reader","Delete","Failed by Master Max Limit"
"10230301","Data","Reader","Change","Success"
"10230302","Data","Reader","Change","All Success"
"10230303","Data","Reader","Change","All Failed"
"10230304","Data","Reader","Change","Failed"
"10230305","Data","Reader","Change","Failed by Time out"
"10230306","Data","Reader","Change","Failed by Incorrect ID"
"10230307","Data","Reader","Change","Failed by None Existed"
"10230308","Data","Reader","Change","Failed by Verification"
"10230309","Data","Reader","Change","Failed by already exist"
"1023030A","Data","Reader","Change","Failed by Max Limit"
"1023030B","Data","Reader","Change","Failed by Master not found"
"1023030C","Data","Reader","Change","Failed by Master Max Limit"
"10240101","Data","Device Group Info","Registry","Success"
"10240102","Data","Device Group Info","Registry","All Success"
"10240103","Data","Device Group Info","Registry","All Failed"
"10240104","Data","Device Group Info","Registry","Failed"
"10240105","Data","Device Group Info","Registry","Failed by Time out"
"10240106","Data","Device Group Info","Registry","Failed by Incorrect ID"
"10240107","Data","Device Group Info","Registry","Failed by None Existed"
"10240108","Data","Device Group Info","Registry","Failed by Verification"
"10240109","Data","Device Group Info","Registry","Failed by already exist"
"1024010A","Data","Device Group Info","Registry","Failed by Max Limit"
"1024010B","Data","Device Group Info","Registry","Failed by Master not found"
"1024010C","Data","Device Group Info","Registry","Failed by Master Max Limit"
"10240201","Data","Device Group Info","Delete","Success"
"10240202","Data","Device Group Info","Delete","All Success"
"10240203","Data","Device Group Info","Delete","All Failed"
"10240204","Data","Device Group Info","Delete","Failed"
"10240205","Data","Device Group Info","Delete","Failed by Time out"
"10240206","Data","Device Group Info","Delete","Failed by Incorrect ID"
"10240207","Data","Device Group Info","Delete","Failed by None Existed"
"10240208","Data","Device Group Info","Delete","Failed by Verification"
"10240209","Data","Device Group Info","Delete","Failed by already exist"
"1024020A","Data","Device Group Info","Delete","Failed by Max Limit"
"1024020B","Data","Device Group Info","Delete","Failed by Master not found"
"1024020C","Data","Device Group Info","Delete","Failed by Master Max Limit"
"10240301","Data","Device Group Info","Change","Success"
"10240302","Data","Device Group Info","Change","All Success"
"10240303","Data","Device Group Info","Change","All Failed"
"10240304","Data","Device Group Info","Change","Failed"
"10240305","Data","Device Group Info","Change","Failed by Time out"
"10240306","Data","Device Group Info","Change","Failed by Incorrect ID"
"10240307","Data","Device Group Info","Change","Failed by None Existed"
"10240308","Data","Device Group Info","Change","Failed by Verification"
"10240309","Data","Device Group Info","Change","Failed by already exist"
"1024030A","Data","Device Group Info","Change","Failed by Max Limit"
"1024030B","Data","Device Group Info","Change","Failed by Master not found"
"1024030C","Data","Device Group Info","Change","Failed by Master Max Limit"
"10680101","Data","Timezone","Registry","Success"
"10680102","Data","Timezone","Registry","All Success"
"10680103","Data","Timezone","Registry","All Failed"
"10680104","Data","Timezone","Registry","Failed"
"10680105","Data","Timezone","Registry","Failed by Time out"
"10680106","Data","Timezone","Registry","Failed by Incorrect ID"
"10680107","Data","Timezone","Registry","Failed by None Existed"
"10680108","Data","Timezone","Registry","Failed by Verification"
"10680109","Data","Timezone","Registry","Failed by already exist"
"1068010A","Data","Timezone","Registry","Failed by Max Limit"
"1068010B","Data","Timezone","Registry","Failed by Master not found"
"1068010C","Data","Timezone","Registry","Failed by Master Max Limit"
"10680201","Data","Timezone","Delete","Success"
"10680202","Data","Timezone","Delete","All Success"
"10680203","Data","Timezone","Delete","All Failed"
"10680204","Data","Timezone","Delete","Failed"
"10680205","Data","Timezone","Delete","Failed by Time out"
"10680206","Data","Timezone","Delete","Failed by Incorrect ID"
"10680207","Data","Timezone","Delete","Failed by None Existed"
"10680208","Data","Timezone","Delete","Failed by Verification"
"10680209","Data","Timezone","Delete","Failed by already exist"
"1068020A","Data","Timezone","Delete","Failed by Max Limit"
"1068020B","Data","Timezone","Delete","Failed by Master not found"
"1068020C","Data","Timezone","Delete","Failed by Master Max Limit"
"10680301","Data","Timezone","Change","Success"
"10680302","Data","Timezone","Change","All Success"
"10680303","Data","Timezone","Change","All Failed"
"10680304","Data","Timezone","Change","Failed"
"10680305","Data","Timezone","Change","Failed by Time out"
"10680306","Data","Timezone","Change","Failed by Incorrect ID"
"10680307","Data","Timezone","Change","Failed by None Existed"
"10680308","Data","Timezone","Change","Failed by Verification"
"10680309","Data","Timezone","Change","Failed by already exist"
"1068030A","Data","Timezone","Change","Failed by Max Limit"
"1068030B","Data","Timezone","Change","Failed by Master not found"
"1068030C","Data","Timezone","Change","Failed by Master Max Limit"
"10690101","Data","Validation Date","Registry","Success"
"10690102","Data","Validation Date","Registry","All Success"
"10690103","Data","Validation Date","Registry","All Failed"
"10690104","Data","Validation Date","Registry","Failed"
"10690105","Data","Validation Date","Registry","Failed by Time out"
"10690106","Data","Validation Date","Registry","Failed by Incorrect ID"
"10690107","Data","Validation Date","Registry","Failed by None Existed"
"10690108","Data","Validation Date","Registry","Failed by Verification"
"10690109","Data","Validation Date","Registry","Failed by already exist"
"1069010A","Data","Validation Date","Registry","Failed by Max Limit"
"1069010B","Data","Validation Date","Registry","Failed by Master not found"
"1069010C","Data","Validation Date","Registry","Failed by Master Max Limit"
"10690201","Data","Validation Date","Delete","Success"
"10690202","Data","Validation Date","Delete","All Success"
"10690203","Data","Validation Date","Delete","All Failed"
"10690204","Data","Validation Date","Delete","Failed"
"10690205","Data","Validation Date","Delete","Failed by Time out"
"10690206","Data","Validation Date","Delete","Failed by Incorrect ID"
"10690207","Data","Validation Date","Delete","Failed by None Existed"
"10690208","Data","Validation Date","Delete","Failed by Verification"
"10690209","Data","Validation Date","Delete","Failed by already exist"
"1069020A","Data","Validation Date","Delete","Failed by Max Limit"
"1069020B","Data","Validation Date","Delete","Failed by Master not found"
"1069020C","Data","Validation Date","Delete","Failed by Master Max Limit"
"10690301","Data","Validation Date","Change","Success"
"10690302","Data","Validation Date","Change","All Success"
"10690303","Data","Validation Date","Change","All Failed"
"10690304","Data","Validation Date","Change","Failed"
"10690305","Data","Validation Date","Change","Failed by Time out"
"10690306","Data","Validation Date","Change","Failed by Incorrect ID"
"10690307","Data","Validation Date","Change","Failed by None Existed"
"10690308","Data","Validation Date","Change","Failed by Verification"
"10690309","Data","Validation Date","Change","Failed by already exist"
"1069030A","Data","Validation Date","Change","Failed by Max Limit"
"1069030B","Data","Validation Date","Change","Failed by Master not found"
"1069030C","Data","Validation Date","Change","Failed by Master Max Limit"
"106A0101","Data","Area","Registry","Success"
"106A0102","Data","Area","Registry","All Success"
"106A0103","Data","Area","Registry","All Failed"
"106A0104","Data","Area","Registry","Failed"
"106A0105","Data","Area","Registry","Failed by Time out"
"106A0106","Data","Area","Registry","Failed by Incorrect ID"
"106A0107","Data","Area","Registry","Failed by None Existed"
"106A0108","Data","Area","Registry","Failed by Verification"
"106A0109","Data","Area","Registry","Failed by already exist"
"106A010A","Data","Area","Registry","Failed by Max Limit"
"106A010B","Data","Area","Registry","Failed by Master not found"
"106A010C","Data","Area","Registry","Failed by Master Max Limit"
"106A0201","Data","Area","Delete","Success"
"106A0202","Data","Area","Delete","All Success"
"106A0203","Data","Area","Delete","All Failed"
"106A0204","Data","Area","Delete","Failed"
"106A0205","Data","Area","Delete","Failed by Time out"
"106A0206","Data","Area","Delete","Failed by Incorrect ID"
"106A0207","Data","Area","Delete","Failed by None Existed"
"106A0208","Data","Area","Delete","Failed by Verification"
"106A0209","Data","Area","Delete","Failed by already exist"
"106A020A","Data","Area","Delete","Failed by Max Limit"
"106A020B","Data","Area","Delete","Failed by Master not found"
"106A020C","Data","Area","Delete","Failed by Master Max Limit"
"106A0301","Data","Area","Change","Success"
"106A0302","Data","Area","Change","All Success"
"106A0303","Data","Area","Change","All Failed"
"106A0304","Data","Area","Change","Failed"
"106A0305","Data","Area","Change","Failed by Time out"
"106A0306","Data","Area","Change","Failed by Incorrect ID"
"106A0307","Data","Area","Change","Failed by None Existed"
"106A0308","Data","Area","Change","Failed by Verification"
"106A0309","Data","Area","Change","Failed by already exist"
"106A030A","Data","Area","Change","Failed by Max Limit"
"106A030B","Data","Area","Change","Failed by Master not found"
"106A030C","Data","Area","Change","Failed by Master Max Limit"
"106B0101","Data","Access Group","Registry","Success"
"106B0102","Data","Access Group","Registry","All Success"
"106B0103","Data","Access Group","Registry","All Failed"
"106B0104","Data","Access Group","Registry","Failed"
"106B0105","Data","Access Group","Registry","Failed by Time out"
"106B0106","Data","Access Group","Registry","Failed by Incorrect ID"
"106B0107","Data","Access Group","Registry","Failed by None Existed"
"106B0108","Data","Access Group","Registry","Failed by Verification"
"106B0109","Data","Access Group","Registry","Failed by already exist"
"106B010A","Data","Access Group","Registry","Failed by Max Limit"
"106B010B","Data","Access Group","Registry","Failed by Master not found"
"106B010C","Data","Access Group","Registry","Failed by Master Max Limit"
"106B0201","Data","Access Group","Delete","Success"
"106B0202","Data","Access Group","Delete","All Success"
"106B0203","Data","Access Group","Delete","All Failed"
"106B0204","Data","Access Group","Delete","Failed"
"106B0205","Data","Access Group","Delete","Failed by Time out"
"106B0206","Data","Access Group","Delete","Failed by Incorrect ID"
"106B0207","Data","Access Group","Delete","Failed by None Existed"
"106B0208","Data","Access Group","Delete","Failed by Verification"
"106B0209","Data","Access Group","Delete","Failed by already exist"
"106B020A","Data","Access Group","Delete","Failed by Max Limit"
"106B020B","Data","Access Group","Delete","Failed by Master not found"
"106B020C","Data","Access Group","Delete","Failed by Master Max Limit"
"106B0301","Data","Access Group","Change","Success"
"106B0302","Data","Access Group","Change","All Success"
"106B0303","Data","Access Group","Change","All Failed"
"106B0304","Data","Access Group","Change","Failed"
"106B0305","Data","Access Group","Change","Failed by Time out"
"106B0306","Data","Access Group","Change","Failed by Incorrect ID"
"106B0307","Data","Access Group","Change","Failed by None Existed"
"106B0308","Data","Access Group","Change","Failed by Verification"
"106B0309","Data","Access Group","Change","Failed by already exist"
"106B030A","Data","Access Group","Change","Failed by Max Limit"
"106B030B","Data","Access Group","Change","Failed by Master not found"
"106B030C","Data","Access Group","Change","Failed by Master Max Limit"
"18010101","System","None","Event","Administrator Mode Entered"
"18010102","System","None","Event","Administrator Mode Denied"
"18010103","System","None","Event","Administrator Mode Denied by Timeout"
"18010104","System","None","Event","Administrator Mode Exit"
"18010105","System","None","Event","Administrator Password Changed"
"18010106","System","None","Event","Administrator Password Change Failed"
"18010107","System","None","Event","Factory Reset Success"
"18010108","System","None","Event","Factory Reset Failed"
"18010109","System","None","Event","Request to Exit"
"1801010A","System","None","Event","APB Amnesty Cleared"
"1801010B","System","None","Event","APB Amnesty Failed"
"1801010C","System","None","Event","All APB Amnesty Cleared"
"1801010D","System","None","Event","All APB Amnesty Failed"
"1801010E","System","None","Event","Operation Mode Changed"
"1801010F","System","None","Event","Date & Time Changed"
"18010110","System","None","Event","Card Signal Changed"
"18010111","System","None","Event","Sensor Detection"
"18010112","System","None","Event","Sensor Restoration"
"18010113","System","None","Event","Sensor Activation Success"
"18010114","System","None","Event","Sensor Activation Failed"
"18010115","System","None","Event","Relay Activation Success"
"18010116","System","None","Event","Relay Activation Failed"
"18010117","System","None","Event","Reader Activation Success"
"18010118","System","None","Event","Reader Activation Failed"
"18010119","System","None","Event","Door Forced Open Mode"
"1801011A","System","None","Event","Door Normal Mode"
"18010201","System","None","IN Sensor","Cover Removed"
"18010202","System","None","IN Sensor","Cover Restored"
"18010203","System","None","IN Sensor","Bolt Removed"
"18010204","System","None","IN Sensor","Bolt Restored"
"18010205","System","None","IN Sensor","Short Circuit  Detected"
"18010206","System","None","IN Sensor","Short Circuit Restored"
"18010301","System","None","EX Sensor","Door Forced Opened"
"18010302","System","None","EX Sensor","Door Forced Closed"
"18010303","System","None","EX Sensor","Door Held Opened"
"18010304","System","None","EX Sensor","Intrusion Detected"
"18010305","System","None","EX Sensor","Intrusion Restored"
"18010306","System","None","EX Sensor","Motion Detected"
"18010307","System","None","EX Sensor","Motion Restored"
"18010401","System","None","EM Sensor","Fire Detected"
"18010402","System","None","EM Sensor","Fire Restored"
"18010403","System","None","EM Sensor","Gas Smoke Detected"
"18010404","System","None","EM Sensor","Gas Smoke Restored"
"18010501","System","None","Device","Battery Low"
"18010502","System","None","Device","Power Failure"
"18010503","System","None","Device","Powered Up"
"18010504","System","None","Device","Power Restored"
"18010505","System","None","Device","Device Busy"
"18010506","System","None","Device","Firmware Update Success"
"18010507","System","None","Device","Firmware Update Failed"
"18010508","System","None","Device","Finger Module Power ON"
"18010509","System","None","Device","Finger Module Power OFF"
"1801050A","System","None","Device","Event Index Changed"
"1801050B","System","None","Device","Event Period Received"
"1801050C","System","None","Device","Device Reset"
"20010102","Communication","Status","None","Disconnected"
"20020101","Communication","S/W Packet","None","S/W Frame Error"
"20020102","Communication","S/W Packet","None","S/W No Response"
"20020103","Communication","S/W Packet","None","S/W Not Enough Data"
"20020104","Communication","S/W Packet","None","S/W Data Size Error"
"20020105","Communication","S/W Packet","None","S/W STX Error"
"20020106","Communication","S/W Packet","None","S/W Length Error"
"20020107","Communication","S/W Packet","None","S/W CheckSum Error"
"20020108","Communication","S/W Packet","None","S/W ETX Error"
"20020109","Communication","S/W Packet","None","S/W DateTime Error"
"2002010A","Communication","S/W Packet","None","S/W Command Error"
"20030101","Communication","H/W Packet","None","H/W Frame Error"
"20030102","Communication","H/W Packet","None","H/W No Response"
"20030103","Communication","H/W Packet","None","H/W Not Enough Data"
"20030104","Communication","H/W Packet","None","H/W Data Size Error"
"20030105","Communication","H/W Packet","None","H/W STX Error"
"20030106","Communication","H/W Packet","None","H/W Length Error"
"20030107","Communication","H/W Packet","None","H/W Checksum Error"
"20030108","Communication","H/W Packet","None","H/W ETX Error"
"20030109","Communication","H/W Packet","None","H/W DateTime Error"
"2003010A","Communication","H/W Packet","None","H/W Command Error"
"2003010B","Communication","H/W Packet","None","H/W Network(Chip) Error"
