code,type,object,code_name,error_name
"0102020E","Access","Denied","Temp Parking","Trap"
"0102020F","Access","Denied","Temp Parking","Escort"
"01020210","Access","Denied","Temp Parking","Guard Tour"
"01020211","Access","Denied","Temp Parking","Two Card"
"01020212","Access","Denied","Temp Parking","Two Reader"
"01020214","Access","Denied","Temp Parking","Wrong Course"
"01020215","Access","Denied","Temp Parking","Parking Date Over"
"01020216","Access","Denied","Temp Parking","Parking Max Limit"
"01020217","Access","Denied","Temp Parking","Regular Parkiing Max Limit"
"01020218","Access","Denied","Temp Parking","Free Parking Max Limit"
"01020219","Access","Denied","Temp Parking","Free Sub Parking Max Limit"
"0102021A","Access","Denied","Temp Parking","Sub Parking Max Limit"
"0102021B","Access","Denied","Temp Parking","Validation Date"
"0102021C","Access","Denied","Temp Parking","Global APB"
"0102021D","Access","Denied","Temp Parking","Lock Down"
"0102021E","Access","Denied","Temp Parking","Restrict Count"
"0102021F","Access","Denied","Temp Parking","Restrict Time"
"01020220","Access","Denied","Temp Parking","Meal Option"
"01020221","Access","Denied","Temp Parking","Meal Time"
"01020301","Access","Denied","Regular Parking","ID"
"01020302","Access","Denied","Regular Parking","Card"
"01020303","Access","Denied","Regular Parking","FP"
"01020304","Access","Denied","Regular Parking","ID and Card"
"01020305","Access","Denied","Regular Parking","ID and FP"
"01020306","Access","Denied","Regular Parking","Card and FP"
"01020307","Access","Denied","Regular Parking","ID and Card and FP"
"01020308","Access","Denied","Regular Parking","Not Enabled"
"01020309","Access","Denied","Regular Parking","Time"
"0102030A","Access","Denied","Regular Parking","Area"
"0102030B","Access","Denied","Regular Parking","Level"
"0102030C","Access","Denied","Regular Parking","APB"
"0102030D","Access","Denied","Regular Parking","Inter Lock"
"0102030E","Access","Denied","Regular Parking","Trap"
"0102030F","Access","Denied","Regular Parking","Escort"
"01020310","Access","Denied","Regular Parking","Guard Tour"
"01020311","Access","Denied","Regular Parking","Two Card"
"01020312","Access","Denied","Regular Parking","Two Reader"
"01020314","Access","Denied","Regular Parking","Wrong Course"
"01020315","Access","Denied","Regular Parking","Parking Date Over"
"01020316","Access","Denied","Regular Parking","Parking Max Limit"
"01020317","Access","Denied","Regular Parking","Regular Parkiing Max Limit"
"01020318","Access","Denied","Regular Parking","Free Parking Max Limit"
"01020319","Access","Denied","Regular Parking","Free Sub Parking Max Limit"
"0102031A","Access","Denied","Regular Parking","Sub Parking Max Limit"
"0102031B","Access","Denied","Regular Parking","Validation Date"
"0102031C","Access","Denied","Regular Parking","Global APB"
"0102031D","Access","Denied","Regular Parking","Lock Down"
"0102031E","Access","Denied","Regular Parking","Restrict Count"
"0102031F","Access","Denied","Regular Parking","Restrict Time"
"01020320","Access","Denied","Regular Parking","Meal Option"
"01020321","Access","Denied","Regular Parking","Meal Time"
"01020401","Access","Denied","Free Parking","ID"
"01020402","Access","Denied","Free Parking","Card"
"01020403","Access","Denied","Free Parking","FP"
"01020404","Access","Denied","Free Parking","ID and Card"
"01020405","Access","Denied","Free Parking","ID and FP"
"01020406","Access","Denied","Free Parking","Card and FP"
"01020407","Access","Denied","Free Parking","ID and Card and FP"
"01020408","Access","Denied","Free Parking","Not Enabled"
